image_id,class_name,bbox_yolo_format,confidence_score,paper_citation,source_url,split
FISHNET-TN-009.png,Gill_Rot,0.1 0.2 0.35 0.42,0.87,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-041.png,WSSV_Infected,0.6 0.2 0.35 0.42,0.92,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-030.png,Healthy,0.4 0.7 0.35 0.42,0.88,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-008.png,Vibrio_Lesion,0.9 0.1 0.35 0.42,0.98,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-047.png,EHP_Growth_Stunted,0.3 0.8 0.35 0.42,0.94,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-029.png,Gill_Rot,0.3 0.6 0.35 0.42,0.89,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-045.png,Healthy,0.1 0.6 0.35 0.42,0.94,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-001.png,WSSV_Infected,0.2 0.2 0.35 0.42,0.85,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-037.png,EHP_Growth_Stunted,0.2 0.6 0.35 0.42,0.93,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-016.png,WSSV_Infected,0.8 0.1 0.35 0.42,0.89,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-038.png,Vibrio_Lesion,0.3 0.7 0.35 0.42,0.87,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-018.png,Vibrio_Lesion,0.1 0.3 0.35 0.42,0.9,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-036.png,WSSV_Infected,0.1 0.5 0.35 0.42,0.9,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-033.png,Vibrio_Lesion,0.7 0.2 0.35 0.42,0.89,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-046.png,WSSV_Infected,0.2 0.7 0.35 0.42,0.93,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-027.png,EHP_Growth_Stunted,0.1 0.4 0.35 0.42,0.91,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-023.png,Vibrio_Lesion,0.6 0.8 0.35 0.42,0.93,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-043.png,Vibrio_Lesion,0.8 0.4 0.35 0.42,0.99,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-015.png,Healthy,0.7 0.8 0.35 0.42,0.99,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-007.png,EHP_Growth_Stunted,0.8 0.8 0.35 0.42,0.89,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-020.png,Healthy,0.3 0.5 0.35 0.42,0.9,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-042.png,EHP_Growth_Stunted,0.7 0.3 0.35 0.42,0.91,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-032.png,EHP_Growth_Stunted,0.6 0.1 0.35 0.42,0.9,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-022.png,EHP_Growth_Stunted,0.5 0.7 0.35 0.42,0.87,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-012.png,EHP_Growth_Stunted,0.4 0.5 0.35 0.42,0.97,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-014.png,Gill_Rot,0.6 0.7 0.35 0.42,0.97,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-021.png,WSSV_Infected,0.4 0.6 0.35 0.42,0.93,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-028.png,Vibrio_Lesion,0.2 0.5 0.35 0.42,0.89,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-002.png,EHP_Growth_Stunted,0.3 0.3 0.35 0.42,0.9,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-049.png,Gill_Rot,0.5 0.2 0.35 0.42,0.91,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-006.png,WSSV_Infected,0.7 0.7 0.35 0.42,0.91,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-005.png,Healthy,0.6 0.6 0.35 0.42,0.96,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-044.png,Gill_Rot,0.9 0.5 0.35 0.42,0.97,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-040.png,Healthy,0.5 0.1 0.35 0.42,0.94,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
FISHNET-TN-017.png,EHP_Growth_Stunted,0.9 0.2 0.35 0.42,0.98,FishNet AI (arXiv:2106.09178),https://fishnet.ai | https://arxiv.org/abs/2106.09178,train
