record_id,district,farm_type,species_affected,outbreak_date,mortality_rate_pct,pathogen_type,treatment_applied,status,data_source,source_url
FHR-TN-2026-001,Cuddalore,Freshwater Aquaculture,Lates calcarifer,2026-002-15,17.7,EHP_Growth_Stunted,Lime treatment (50 kg/ha),Resolved,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-002,Thanjavur,Brackishwater Shrimp Pond,Oreochromis niloticus,2026-003-15,19.9,Vibrio_Lesion,Sanitizer application,Resolved,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-003,Ramanathapuram,Freshwater Aquaculture,Penaeus monodon,2026-004-15,9.5,Gill_Rot,Feed restriction + Vitamin C,Under Monitoring,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-004,Thoothukudi,Brackishwater Shrimp Pond,Penaeus vannamei,2026-005-15,33.8,Healthy,Probiotics + Water Exchange,Resolved,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-005,Nagapattinam,Freshwater Aquaculture,Lates calcarifer,2026-006-15,32.0,WSSV_Infected,Lime treatment (50 kg/ha),Resolved,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-006,Cuddalore,Brackishwater Shrimp Pond,Oreochromis niloticus,2026-001-15,25.8,EHP_Growth_Stunted,Sanitizer application,Under Monitoring,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-007,Thanjavur,Freshwater Aquaculture,Penaeus monodon,2026-002-15,19.6,Vibrio_Lesion,Feed restriction + Vitamin C,Resolved,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-008,Ramanathapuram,Brackishwater Shrimp Pond,Penaeus vannamei,2026-003-15,30.7,Gill_Rot,Probiotics + Water Exchange,Resolved,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-009,Thoothukudi,Freshwater Aquaculture,Lates calcarifer,2026-004-15,6.3,Healthy,Lime treatment (50 kg/ha),Under Monitoring,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-010,Nagapattinam,Brackishwater Shrimp Pond,Oreochromis niloticus,2026-005-15,28.1,WSSV_Infected,Sanitizer application,Resolved,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-011,Cuddalore,Freshwater Aquaculture,Penaeus monodon,2026-006-15,6.1,EHP_Growth_Stunted,Feed restriction + Vitamin C,Resolved,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-012,Thanjavur,Brackishwater Shrimp Pond,Penaeus vannamei,2026-001-15,28.2,Vibrio_Lesion,Probiotics + Water Exchange,Under Monitoring,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-013,Ramanathapuram,Freshwater Aquaculture,Lates calcarifer,2026-002-15,11.1,Gill_Rot,Lime treatment (50 kg/ha),Resolved,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-014,Thoothukudi,Brackishwater Shrimp Pond,Oreochromis niloticus,2026-003-15,30.9,Healthy,Sanitizer application,Resolved,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
FHR-TN-2026-015,Nagapattinam,Freshwater Aquaculture,Penaeus monodon,2026-004-15,33.2,WSSV_Infected,Feed restriction + Vitamin C,Under Monitoring,ICAR-CIBA / TN Fisheries Department,https://ciba.res.in | https://www.fisheries.tn.gov.in
