age_days,species,vbf_length_cm,vbf_weight_g,linf_cm,k_val,t0_val,data_source,source_url,split
45,Penaeus vannamei (VBF Model),15.21,31.64,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
48,Penaeus vannamei (VBF Model),15.7,34.81,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
5,Penaeus vannamei (VBF Model),3.53,0.4,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
56,Penaeus vannamei (VBF Model),16.84,42.98,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
27,Penaeus vannamei (VBF Model),11.34,13.14,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
65,Penaeus vannamei (VBF Model),17.88,51.44,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
74,Penaeus vannamei (VBF Model),18.71,58.94,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
11,Penaeus vannamei (VBF Model),6.1,2.05,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
41,Penaeus vannamei (VBF Model),14.49,27.39,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
108,Penaeus vannamei (VBF Model),20.59,78.6,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
19,Penaeus vannamei (VBF Model),8.99,6.53,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
63,Penaeus vannamei (VBF Model),17.67,49.64,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
12,Penaeus vannamei (VBF Model),6.5,2.47,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
37,Penaeus vannamei (VBF Model),13.7,23.15,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
90,Penaeus vannamei (VBF Model),19.79,69.8,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
92,Penaeus vannamei (VBF Model),19.9,70.95,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
110,Penaeus vannamei (VBF Model),20.66,79.39,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
1,Penaeus vannamei (VBF Model),1.59,0.04,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
89,Penaeus vannamei (VBF Model),19.74,69.21,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
105,Penaeus vannamei (VBF Model),20.48,77.36,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
66,Penaeus vannamei (VBF Model),17.98,52.32,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
46,Penaeus vannamei (VBF Model),15.37,32.7,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
32,Penaeus vannamei (VBF Model),12.6,17.99,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
71,Penaeus vannamei (VBF Model),18.45,56.55,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
43,Penaeus vannamei (VBF Model),14.86,29.52,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
13,Penaeus vannamei (VBF Model),6.88,2.93,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
16,Penaeus vannamei (VBF Model),7.97,4.56,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
115,Penaeus vannamei (VBF Model),20.82,81.22,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
77,Penaeus vannamei (VBF Model),18.95,61.22,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
98,Penaeus vannamei (VBF Model),20.19,74.12,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
25,Penaeus vannamei (VBF Model),10.8,11.33,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
79,Penaeus vannamei (VBF Model),19.1,62.67,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
23,Penaeus vannamei (VBF Model),10.22,9.62,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
97,Penaeus vannamei (VBF Model),20.15,73.61,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
57,Penaeus vannamei (VBF Model),16.97,43.96,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
111,Penaeus vannamei (VBF Model),20.7,79.77,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
31,Penaeus vannamei (VBF Model),12.36,16.99,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
54,Penaeus vannamei (VBF Model),16.57,40.98,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
119,Penaeus vannamei (VBF Model),20.93,82.54,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
10,Penaeus vannamei (VBF Model),5.7,1.67,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
34,Penaeus vannamei (VBF Model),13.06,20.03,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
26,Penaeus vannamei (VBF Model),11.08,12.23,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
70,Penaeus vannamei (VBF Model),18.36,55.73,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
29,Penaeus vannamei (VBF Model),11.86,15.03,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
99,Penaeus vannamei (VBF Model),20.24,74.61,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
86,Penaeus vannamei (VBF Model),19.56,67.38,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
6,Penaeus vannamei (VBF Model),3.99,0.57,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
91,Penaeus vannamei (VBF Model),19.85,70.38,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
69,Penaeus vannamei (VBF Model),18.27,54.9,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
40,Penaeus vannamei (VBF Model),14.3,26.33,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
50,Penaeus vannamei (VBF Model),16.0,36.89,22.0,0.025,-2.0,Von Bertalanffy Function / R FSA Package,https://en.wikipedia.org/wiki/Von_Bertalanffy_function | https://cran.r-project.org/package=FSA,train
