sample_id,species,age_weeks,length_cm,weight_g,feed_type,daily_ration_kg_per_100k,water_temp_c,data_source,source_url,split
SAMP-WEEK-10,Penaeus vannamei,10,13.1,19.77,Commercial Extruded Pellets (38% CP),97.0,27.7,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,train
SAMP-WEEK-12,Penaeus vannamei,12,15.4,31.86,Commercial Extruded Pellets (38% CP),114.0,28.9,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,train
SAMP-WEEK-01,Penaeus vannamei,1,3.3,0.34,Commercial Extruded Pellets (38% CP),20.5,27.2,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,train
SAMP-WEEK-14,Penaeus vannamei,14,17.4,45.67,Commercial Extruded Pellets (38% CP),131.0,28.6,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,train
SAMP-WEEK-06,Penaeus vannamei,6,8.8,6.11,Commercial Extruded Pellets (38% CP),63.0,28.8,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,train
SAMP-WEEK-09,Penaeus vannamei,9,11.8,14.52,Commercial Extruded Pellets (38% CP),88.5,27.7,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,train
SAMP-WEEK-03,Penaeus vannamei,3,4.8,1.02,Commercial Extruded Pellets (38% CP),37.5,28.9,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,train
SAMP-WEEK-02,Penaeus vannamei,2,4.4,0.79,Commercial Extruded Pellets (38% CP),29.0,28.0,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,train
SAMP-WEEK-15,Penaeus vannamei,15,18.4,53.85,Commercial Extruded Pellets (38% CP),139.5,27.1,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,train
SAMP-WEEK-05,Penaeus vannamei,5,7.7,4.12,Commercial Extruded Pellets (38% CP),54.5,27.9,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,train
SAMP-WEEK-08,Penaeus vannamei,8,11.0,11.81,Commercial Extruded Pellets (38% CP),80.0,27.5,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,val
SAMP-WEEK-11,Penaeus vannamei,11,14.3,25.6,Commercial Extruded Pellets (38% CP),105.5,28.1,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,val
SAMP-WEEK-13,Penaeus vannamei,13,15.8,34.36,Commercial Extruded Pellets (38% CP),122.5,27.3,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,test
SAMP-WEEK-04,Penaeus vannamei,4,6.4,2.39,Commercial Extruded Pellets (38% CP),46.0,28.7,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,test
SAMP-WEEK-07,Penaeus vannamei,7,9.9,8.65,Commercial Extruded Pellets (38% CP),71.5,28.7,WorldFish / MPEDA,https://www.worldfishcenter.org | https://mpeda.gov.in,test
