trial_id,district,pond_area_ha,stocking_density_per_m2,species,doc,survival_rate_pct,final_biomass_kg,fcr,data_source,source_url
TRIAL-TNJFU-2026-001,Cuddalore,0.77,58,Penaeus vannamei,100,83.4,4639,1.3,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-002,Thanjavur,1.02,53,Penaeus vannamei,100,83.5,5713,1.25,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-003,Ramanathapuram,0.41,53,Penaeus vannamei,100,89.8,2632,1.29,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-004,Thoothukudi,0.41,38,Penaeus vannamei,100,89.0,4064,1.31,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-005,Chennai,0.7,30,Penaeus vannamei,100,78.6,4527,1.47,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-006,Kanyakumari,1.08,30,Penaeus vannamei,100,91.8,5019,1.42,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-007,Nagapattinam,0.77,41,Penaeus vannamei,100,78.7,2436,1.28,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-008,Cuddalore,0.6,44,Penaeus vannamei,100,88.4,3905,1.24,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-009,Thanjavur,1.17,58,Penaeus vannamei,100,89.3,5768,1.36,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-010,Ramanathapuram,1.17,32,Penaeus vannamei,100,80.0,3011,1.27,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-011,Thoothukudi,0.51,48,Penaeus vannamei,100,89.2,4281,1.26,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-012,Chennai,1.05,49,Penaeus vannamei,100,80.5,4626,1.29,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-013,Kanyakumari,0.68,57,Penaeus vannamei,100,78.4,3891,1.45,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-014,Nagapattinam,0.97,31,Penaeus vannamei,100,75.2,2228,1.38,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-015,Cuddalore,0.76,34,Penaeus vannamei,100,93.1,4106,1.28,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-016,Thanjavur,0.8,50,Penaeus vannamei,100,73.7,3188,1.43,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-017,Ramanathapuram,0.77,46,Penaeus vannamei,100,81.5,2358,1.26,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-018,Thoothukudi,0.76,36,Penaeus vannamei,100,73.1,5237,1.48,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-019,Chennai,1.03,55,Penaeus vannamei,100,77.3,5658,1.27,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-020,Kanyakumari,1.16,59,Penaeus vannamei,100,87.7,5732,1.37,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
TRIAL-TNJFU-2026-021,Nagapattinam,0.61,43,Penaeus vannamei,100,85.1,2463,1.38,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in
