year,district,inland_production_tons,marine_production_tons,brackishwater_production_tons,shrimp_export_mt,value_inr_crores,data_source,source_url,split
2024,Chennai,13654,54327,6133,3891.6,146.7,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2022,Kanyakumari,13986,63939,12371,1724.0,232.72,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2024,Ramanathapuram,24015,72690,7470,1969.2,260.0,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2024,Nagapattinam,23198,48298,17461,1851.8,233.93,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2023,Cuddalore,15403,30715,14630,3181.3,181.59,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2025,Cuddalore,18556,65581,7429,2197.2,224.2,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2023,Chennai,19818,43720,4528,3829.7,119.36,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2022,Chennai,12156,68586,4843,7687.2,183.35,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2022,Cuddalore,6537,57546,14917,6361.7,58.81,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2023,Thanjavur,10685,30037,12443,1596.6,250.88,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2022,Thanjavur,6458,50215,7429,2896.4,122.28,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2025,Chennai,12581,45300,3289,2107.9,158.75,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2021,Nagapattinam,18754,74203,13387,2181.4,127.33,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2021,Thoothukudi,20068,77669,12878,6792.6,277.63,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2023,Ramanathapuram,11351,20010,10666,1542.0,120.95,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2024,Kanyakumari,6047,77567,9247,7201.9,278.85,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2021,Chennai,17272,26645,10314,1766.8,157.07,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2022,Thoothukudi,14528,36952,12607,8346.6,210.96,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2021,Cuddalore,12174,80332,7181,2738.1,308.3,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2021,Thanjavur,5177,94836,13152,7247.8,126.02,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2025,Thoothukudi,7230,58689,7013,7299.0,49.04,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2021,Ramanathapuram,5286,75340,15512,6605.5,84.28,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2025,Thanjavur,19771,43672,12672,4084.5,241.13,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
2024,Thanjavur,8339,73478,12995,8252.1,254.29,Tamil Nadu Fisheries at a Glance / Marine Fisheries Statistics (data.gov.in),https://www.data.gov.in/catalog/tamil-nadu-fisheries-glance-2020-21,train
