trial_id,district,pond_area_ha,stocking_density_per_m2,species,doc,survival_rate_pct,final_biomass_kg,fcr,data_source,source_url,split
TRIAL-TNJFU-2026-014,Nagapattinam,0.97,31,Penaeus vannamei,100,75.2,2228,1.38,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-040,Chennai,1.05,55,Penaeus vannamei,100,79.3,4697,1.42,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-031,Ramanathapuram,1.16,47,Penaeus vannamei,100,79.9,5035,1.29,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-046,Thoothukudi,0.74,39,Penaeus vannamei,100,79.2,4765,1.43,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-018,Thoothukudi,0.76,36,Penaeus vannamei,100,73.1,5237,1.48,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-049,Nagapattinam,0.84,51,Penaeus vannamei,100,75.7,5010,1.37,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-027,Kanyakumari,0.58,39,Penaeus vannamei,100,90.7,4823,1.24,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-026,Chennai,0.41,40,Penaeus vannamei,100,92.4,3023,1.38,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-033,Chennai,1.13,33,Penaeus vannamei,100,83.1,2995,1.23,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-020,Kanyakumari,1.16,59,Penaeus vannamei,100,87.7,5732,1.37,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-013,Kanyakumari,0.68,57,Penaeus vannamei,100,78.4,3891,1.45,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-005,Chennai,0.7,30,Penaeus vannamei,100,78.6,4527,1.47,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-038,Ramanathapuram,0.87,35,Penaeus vannamei,100,79.3,5278,1.27,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-009,Thanjavur,1.17,58,Penaeus vannamei,100,89.3,5768,1.36,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-004,Thoothukudi,0.41,38,Penaeus vannamei,100,89.0,4064,1.31,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-007,Nagapattinam,0.77,41,Penaeus vannamei,100,78.7,2436,1.28,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-042,Nagapattinam,0.74,31,Penaeus vannamei,100,74.8,4955,1.22,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-047,Chennai,0.55,41,Penaeus vannamei,100,91.8,5104,1.48,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-048,Kanyakumari,1.0,41,Penaeus vannamei,100,85.0,4579,1.24,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-016,Thanjavur,0.8,50,Penaeus vannamei,100,73.7,3188,1.43,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-010,Ramanathapuram,1.17,32,Penaeus vannamei,100,80.0,3011,1.27,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-017,Ramanathapuram,0.77,46,Penaeus vannamei,100,81.5,2358,1.26,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-025,Thoothukudi,0.53,46,Penaeus vannamei,100,89.0,3996,1.22,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-035,Nagapattinam,0.87,43,Penaeus vannamei,100,84.8,4060,1.42,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-032,Thoothukudi,0.85,40,Penaeus vannamei,100,86.4,3065,1.27,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-001,Cuddalore,0.77,58,Penaeus vannamei,100,83.4,4639,1.3,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-045,Ramanathapuram,1.17,36,Penaeus vannamei,100,86.6,4870,1.44,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-028,Nagapattinam,0.74,30,Penaeus vannamei,100,82.6,4584,1.25,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-034,Kanyakumari,0.43,35,Penaeus vannamei,100,91.1,3216,1.47,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-006,Kanyakumari,1.08,30,Penaeus vannamei,100,91.8,5019,1.42,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-030,Thanjavur,1.01,41,Penaeus vannamei,100,80.6,4915,1.46,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-012,Chennai,1.05,49,Penaeus vannamei,100,80.5,4626,1.29,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-037,Thanjavur,0.74,53,Penaeus vannamei,100,82.5,3991,1.27,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-002,Thanjavur,1.02,53,Penaeus vannamei,100,83.5,5713,1.25,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
TRIAL-TNJFU-2026-022,Cuddalore,1.18,35,Penaeus vannamei,100,89.4,5468,1.47,ICAR-CIBA / TNJFU Nagapattinam,https://ciba.res.in | https://www.tnjfu.ac.in,train
