timestamp,pond_id,do_mgl,ph,temp_c,nh3_mgl,turbidity_ntu,arima_do_forecast,data_source,source_url,split
2026-08-01 00:00:00,POND-SYNTH-01,6.67,7.95,24.4,0.103,25.5,6.77,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 00:15:00,POND-SYNTH-02,7.2,7.92,24.3,0.127,27.1,7.3,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 00:30:00,POND-SYNTH-03,6.92,7.85,24.2,0.048,21.1,7.02,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 00:45:00,POND-SYNTH-01,7.5,7.84,24.2,0.089,24.4,7.6,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 01:00:00,POND-SYNTH-02,7.25,7.93,24.1,0.143,23.8,7.35,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 01:15:00,POND-SYNTH-03,7.25,7.89,24.1,0.088,28.2,7.35,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 01:30:00,POND-SYNTH-01,7.47,7.91,24.0,0.133,27.3,7.57,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 01:45:00,POND-SYNTH-02,7.5,7.79,24.0,0.12,23.7,7.6,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 02:00:00,POND-SYNTH-03,7.44,7.88,24.0,0.162,25.0,7.54,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 02:15:00,POND-SYNTH-01,7.7,7.92,24.0,0.112,30.2,7.8,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 02:30:00,POND-SYNTH-02,7.83,7.73,24.0,0.138,25.8,7.93,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 02:45:00,POND-SYNTH-03,8.05,7.83,24.1,0.093,22.6,8.15,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 03:00:00,POND-SYNTH-01,7.82,7.74,24.1,0.071,26.2,7.92,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 03:15:00,POND-SYNTH-02,8.26,7.78,24.2,0.04,25.9,8.36,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 03:30:00,POND-SYNTH-03,8.23,7.71,24.2,0.093,25.0,8.33,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 03:45:00,POND-SYNTH-01,7.89,7.75,24.3,0.094,25.8,7.99,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 04:00:00,POND-SYNTH-02,7.92,7.68,24.4,0.136,24.3,8.02,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 04:15:00,POND-SYNTH-03,8.49,7.66,24.5,0.111,26.9,8.59,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 04:30:00,POND-SYNTH-01,7.9,7.57,24.6,0.024,27.5,8.0,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 04:45:00,POND-SYNTH-02,8.11,7.76,24.7,0.072,25.4,8.21,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
2026-08-01 05:00:00,POND-SYNTH-03,8.56,7.7,24.9,0.203,27.4,8.66,Statsmodels (ARIMA) / NumPy Synthetic Engine,https://www.statsmodels.org | https://numpy.org,train
