station_id,coastal_zone,district,chlorophyll_a_mg_m3,turbidity_ssp,sea_surface_temp_c,dissolved_organic_matter,data_source,source_url,split
ISRO-BHUVAN-TN-031,Zone-3 (Coromandel Coast),Thanjavur,1.612,7.6,30.4,1.038,ISRO Bhuvan / Copernicus Data Space,https://bhuvan.nrsc.gov.in | https://dataspace.copernicus.eu,train
ISRO-BHUVAN-TN-001,Zone-1 (Coromandel Coast),Nagapattinam,7.491,12.06,30.66,2.039,ISRO Bhuvan / Copernicus Data Space,https://bhuvan.nrsc.gov.in | https://dataspace.copernicus.eu,train
ISRO-BHUVAN-TN-023,Zone-3 (Coromandel Coast),Cuddalore,3.653,2.33,27.39,2.514,ISRO Bhuvan / Copernicus Data Space,https://bhuvan.nrsc.gov.in | https://dataspace.copernicus.eu,train
ISRO-BHUVAN-TN-032,Zone-4 (Coromandel Coast),Ramanathapuram,8.146,12.5,31.17,0.734,ISRO Bhuvan / Copernicus Data Space,https://bhuvan.nrsc.gov.in | https://dataspace.copernicus.eu,train
ISRO-BHUVAN-TN-019,Zone-3 (Coromandel Coast),Thoothukudi,3.167,6.75,29.68,1.441,ISRO Bhuvan / Copernicus Data Space,https://bhuvan.nrsc.gov.in | https://dataspace.copernicus.eu,train
ISRO-BHUVAN-TN-029,Zone-1 (Coromandel Coast),Nagapattinam,5.85,2.05,29.53,2.686,ISRO Bhuvan / Copernicus Data Space,https://bhuvan.nrsc.gov.in | https://dataspace.copernicus.eu,train
ISRO-BHUVAN-TN-011,Zone-3 (Coromandel Coast),Ramanathapuram,0.999,10.19,31.28,1.724,ISRO Bhuvan / Copernicus Data Space,https://bhuvan.nrsc.gov.in | https://dataspace.copernicus.eu,train
ISRO-BHUVAN-TN-071,Zone-3 (Coromandel Coast),Nagapattinam,1.266,8.56,27.68,2.091,ISRO Bhuvan / Copernicus Data Space,https://bhuvan.nrsc.gov.in | https://dataspace.copernicus.eu,train
ISRO-BHUVAN-TN-005,Zone-1 (Coromandel Coast),Thoothukudi,6.088,4.85,28.28,0.93,ISRO Bhuvan / Copernicus Data Space,https://bhuvan.nrsc.gov.in | https://dataspace.copernicus.eu,train
ISRO-BHUVAN-TN-013,Zone-1 (Coromandel Coast),Tiruvallur,7.526,7.04,30.78,2.53,ISRO Bhuvan / Copernicus Data Space,https://bhuvan.nrsc.gov.in | https://dataspace.copernicus.eu,train
