sample_id,district,location_name,latitude,longitude,ph,dissolved_oxygen_mgl,temperature_c,salinity_ppt,ammonia_mgl,turbidity_ntu,alkalinity_mgl,data_source,source_url,split
TN-WQ-2026-0084,Kanchipuram,Kanchipuram Coastal Farm #4,10.9183,79.8397,7.63,4.95,25.9,27.5,0.09,26.8,141.7,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0054,Thoothukudi,Thoothukudi Coastal Farm #4,12.8646,79.6842,7.61,6.36,31.0,22.1,0.048,14.2,170.5,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0071,Nagapattinam,Nagapattinam Coastal Farm #1,9.7988,79.1625,7.77,5.05,27.2,20.7,0.022,14.8,179.3,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0046,Ramanathapuram,Ramanathapuram Coastal Farm #1,8.8274,79.6437,7.57,5.93,29.0,16.4,0.647,38.1,135.9,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0045,Thanjavur,Thanjavur Coastal Farm #5,10.4869,79.7754,7.47,6.11,29.3,25.5,0.016,16.3,159.1,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0040,Thoothukudi,Thoothukudi Coastal Farm #5,9.0317,79.3935,7.6,7.58,29.1,27.5,0.244,31.2,122.4,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0023,Cuddalore,Cuddalore Coastal Farm #3,11.4338,78.4485,7.41,7.44,30.8,26.0,0.284,59.3,149.8,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0081,Ramanathapuram,Ramanathapuram Coastal Farm #1,10.7765,79.2229,7.84,7.37,29.5,27.0,0.025,53.2,152.5,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0011,Ramanathapuram,Ramanathapuram Coastal Farm #1,11.9694,78.9876,6.75,7.49,28.7,20.3,0.107,78.1,127.5,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0001,Nagapattinam,Nagapattinam Coastal Farm #1,10.1854,79.9014,8.06,8.33,28.0,16.0,0.302,55.1,159.6,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0019,Thoothukudi,Thoothukudi Coastal Farm #4,11.4033,78.3487,7.43,8.36,26.9,30.7,0.315,29.3,156.2,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0031,Thanjavur,Thanjavur Coastal Farm #1,9.7894,79.1817,7.61,7.81,28.6,28.1,0.036,56.7,116.0,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0074,Ramanathapuram,Ramanathapuram Coastal Farm #4,9.4073,78.3273,7.74,6.97,27.7,26.3,0.111,36.9,171.4,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0034,Tiruvallur,Tiruvallur Coastal Farm #4,10.9715,79.4292,8.15,4.99,30.3,31.2,0.201,51.6,152.8,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0091,Kanchipuram,Kanchipuram Coastal Farm #1,11.4374,78.4764,7.7,6.05,29.9,29.1,0.076,60.1,124.3,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0005,Thoothukudi,Thoothukudi Coastal Farm #5,9.8708,78.1953,7.56,8.72,28.5,15.6,0.36,29.4,156.4,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0077,Kanchipuram,Kanchipuram Coastal Farm #2,9.1267,79.5881,8.05,9.22,28.9,17.6,0.056,28.6,162.1,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0078,Nagapattinam,Nagapattinam Coastal Farm #3,8.6509,79.1398,7.9,7.07,29.2,20.8,0.258,18.3,169.3,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0013,Tiruvallur,Tiruvallur Coastal Farm #3,12.1165,78.3731,7.84,7.66,27.1,18.9,0.084,71.4,170.3,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0032,Ramanathapuram,Ramanathapuram Coastal Farm #2,8.7326,79.0627,7.37,9.07,29.8,27.3,0.559,48.7,132.6,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0056,Kanchipuram,Kanchipuram Coastal Farm #1,9.5289,79.3434,8.05,4.66,31.1,16.9,0.167,49.0,164.1,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0089,Thoothukudi,Thoothukudi Coastal Farm #4,12.378,79.8922,7.24,5.57,26.3,15.4,0.025,63.7,156.1,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0027,Tiruvallur,Tiruvallur Coastal Farm #2,12.8363,79.706,7.46,4.68,27.6,17.9,0.122,80.2,158.7,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0043,Nagapattinam,Nagapattinam Coastal Farm #3,12.5742,78.1826,7.93,6.34,28.7,25.7,0.089,32.0,133.0,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0070,Kanchipuram,Kanchipuram Coastal Farm #5,11.9627,78.3741,7.41,5.58,24.9,23.6,0.042,18.6,152.7,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0016,Cuddalore,Cuddalore Coastal Farm #1,8.7317,78.5573,7.79,6.27,29.1,17.5,0.101,83.9,126.9,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
TN-WQ-2026-0041,Tiruvallur,Tiruvallur Coastal Farm #1,11.8778,79.6137,7.79,6.64,31.1,20.8,0.401,74.4,140.0,ICAR-CIBA / India-WRIS,https://ciba.res.in | https://indiawris.gov.in,train
